,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
44,Hufflepuff,Melba,Cornelius,1999-04-11,Left,54668.0,695.2269816030847,2.896079526803168,-6.952269816030848,7.129,-640.1814299963874,427.77331828120896,1.958259201725752,1065.9479489501907,5.151495461162232,1.6899106834735174,-246.58968,11.84
45,Hufflepuff,Carla,Tafoya,1999-12-27,Right,33198.0,587.1102682110577,5.574775411439235,-5.8711026821105765,5.614,-794.576117846254,441.5592176143104,7.786242110704107,1058.6547429467978,11.055915327327554,0.5482032833781091,-242.27244,23.07
46,Ravenclaw,Brianne,Redmond,1998-03-17,Left,60024.0,-490.4680078747834,3.8734137770286967,4.904680078747834,4.95,690.0290189496634,640.0176552666418,1.7613642681647228,1049.2112718504247,5.409010155611038,-1.0939520427952556,-232.36958,16.24
47,Slytherin,Wilbur,Burnside,1999-05-24,Right,45982.0,-488.97850798686363,-4.963730079291379,4.889785079868637,nan,-617.4040268104895,398.49990048810594,5.528243231441679,1059.217553368259,9.617422309157933,-0.5632199018740616,-247.73032,-83.27
48,Slytherin,Lia,Layton,2000-06-27,Right,50425.0,-473.15333626619474,-5.720582189795562,4.731533362661947,-8.724,-570.9273774822223,358.79774496285035,4.519683858522678,1073.1198497777557,11.227247974922097,-1.075359347753068,-254.08147,-83.95
49,Ravenclaw,Madonna,Sommers,1999-12-24,Left,43767.0,-481.28642494174215,5.845823117190857,4.812864249417422,5.129,505.4302824324562,598.7905672185035,4.060459660850689,1049.648956558724,6.387937440123456,0.350178083720465,-230.38451,17.37
50,Ravenclaw,Jolene,Bouchard,2001-02-24,Right,71311.0,-497.5708770589295,7.177095283319561,4.975708770589295,4.735,229.37833695667985,601.3016044680871,5.037385996015146,1013.5639765239616,3.810551090573672,1.7296297999451802,-232.20035,19.77
51,Hufflepuff,Marci,Mckinley,1999-09-03,Right,28181.0,558.7472151961902,8.829186189749233,-5.587472151961904,3.0410000000000004,-378.8377900263511,389.29853951574614,3.734386214516268,1028.2598458891612,3.575565658637035,-0.4112434443452184,-243.44863,76.9
52,Ravenclaw,Evangeline,Pickett,2001-07-23,Right,67134.0,-487.486742696032,2.982664712031005,4.8748674269603205,6.346,401.5363393564368,619.9240551065316,2.581619045171984,1044.3223943623666,4.768353270288884,0.24986346948361995,-233.02548,-5.96
53,Hufflepuff,Dinah,Chu,2000-12-11,Left,54856.0,323.94064682964955,5.570495182393367,-3.2394064682964965,nan,-580.2853524067573,437.84400739658724,4.08052091549356,1051.2493383276458,4.910110068517524,-0.1886392131781208,-242.41159,11.25
54,Ravenclaw,Randi,Hendrick,1999-08-26,Left,56563.0,-326.83000836702183,5.768800681454513,3.2683000836702183,7.316,329.6257807116864,nan,4.388883256978287,1042.5635341660927,5.392529890980124,0.7044204569372524,-231.11854,7.76
55,Gryffindor,Rudolf,Childs,1997-11-25,Left,40517.0,485.90935158339346,-3.5830271323233585,-4.8590935158339335,7.029,-267.91466314981943,632.6979850909718,-4.529504515195481,973.2042579719632,4.406556479587785,1.0062567072277986,-248.2284,185.89
56,Hufflepuff,Melva,Trimble,1999-04-06,Right,88282.0,303.38647547953013,4.993125220076419,-3.0338647547953013,4.562,-602.5488953397547,425.3294773189624,4.658685106723032,1060.3495065531922,3.75307479571976,-0.6548310276081771,-245.04629,-51.42
57,Ravenclaw,Clayton,Graham,1998-02-07,Right,65733.0,-643.125632895252,6.2318879138630034,6.4312563289525215,4.651,549.8680656403408,635.3000840356913,4.000128977739074,1035.0236603564224,5.0051601979890945,0.05441234358876758,-230.07502,10.88
58,Hufflepuff,Lori,Lavigne,1999-03-03,Right,72095.0,557.4450761518831,3.0842336342062437,-5.574450761518833,6.766,-761.5189158307405,429.20720532102234,4.488621499642565,1074.8137547065157,6.441428647805036,-0.4668083601352399,-245.82715,-39.31
59,Ravenclaw,Preston,Foltz,1997-01-16,Right,30256.0,-498.4793206354821,5.329250342270762,4.984793206354821,4.6110000000000015,340.3675070215716,582.4939554176815,5.369517098173269,1052.7435805245425,8.570619544330382,0.11471915383185165,-230.31067,19.41
60,Hufflepuff,Hayden,Aponte,2001-10-13,Right,46316.0,527.1935850836812,7.922205496177112,-5.271935850836812,3.3560000000000003,-398.1019908932312,341.47560564416693,4.978613530314481,1041.4146653613177,2.068824178512835,-0.529578503638637,-244.57527,-0.09
61,Gryffindor,Jung,Kim,1999-07-04,Left,35988.0,653.3988888493905,nan,-6.533988888493904,6.805,-135.79272229334848,613.9374880694534,-5.544401139724316,935.4126841054823,1.2706406544236517,-1.4676454957639429,-250.69972,218.32
62,Ravenclaw,Garland,Inman,2001-04-09,Right,60930.0,-697.2616601399992,6.177718869726896,6.972616601399992,3.679,273.7552568697461,587.2787004147419,5.917612213421919,1043.2236205523925,6.343872979157991,0.982656445926748,-230.6652,-14.57
63,Gryffindor,Felecia,Montano,1997-02-02,Left,51439.0,274.18230967143074,-2.970012026908665,nan,6.9110000000000005,-547.3234204920152,624.6178860862478,-7.251724415936191,966.8558694758208,1.0459019033114645,-0.6963472669521202,-248.65853,207.25
64,Hufflepuff,Elvis,Haddad,1998-03-26,Right,66774.0,227.437621017206,6.438242984161848,-2.27437621017206,4.072,-503.1174492796894,416.3137629929717,7.7655976010362675,1044.1911270539692,5.345871804032165,-1.3986324117004638,-241.77571,-42.81
65,Slytherin,Oliver,French,1999-03-09,Left,62494.0,-615.8800165145694,-5.860764956966348,6.158800165145693,-4.602,-483.0273752704457,366.5317559557711,5.017433229820954,1052.075039599983,6.949189638892671,0.4205480691989509,-250.33132,-119.11
66,Hufflepuff,Jody,Obrien,2001-02-09,Right,27663.0,796.046585728554,3.3474174909156886,-7.9604658572855405,nan,-346.08588498784104,411.7427542412632,4.664674098719399,1038.6302224201827,7.0344809211348585,0.48611004372517497,-246.39943,36.09
67,Hufflepuff,Dianne,Vaught,2000-08-14,Left,27198.0,764.0716391257437,5.2434344807551865,-7.640716391257437,5.404,-357.4384517475835,347.3995122924344,6.214927761691985,1040.7549717765928,4.742992342460138,-0.7466944461814307,-244.90329,-1.87
68,Ravenclaw,Jordon,Scribner,1997-01-19,Left,8168.0,-482.003331606366,4.520104282514471,4.82003331606366,4.4689999999999985,642.3680133242846,nan,5.136587353353341,1093.3097668287644,11.703336859106555,-0.9400352901243834,-228.48187,4.57
69,Ravenclaw,Darwin,Kyle,1999-09-26,Right,15276.0,-489.4937773271154,6.108327707523338,4.894937773271153,4.01,497.5519982713907,591.5540364843797,3.216093546747093,1051.5853567779584,8.001025739586494,-0.3863088507895212,-229.80198,66.76
70,Hufflepuff,Jae,Mejia,1999-10-31,Left,47506.0,572.5181101531831,3.8064824847371215,-5.725181101531831,4.852,-359.77166948586984,371.5787287499591,6.3742572367549695,1043.8936662134804,4.74965584119561,-0.993245765335395,-245.33065,-37.02
71,Gryffindor,Haley,Pryor,1998-11-20,Right,74889.0,240.55918719267208,3.834011227733569,-2.4055918719267213,6.2170000000000005,-834.2027750054924,440.21059824863676,3.244443649077044,1078.4514144081118,5.28938952292059,-0.3301200969285453,-243.72415,-31.21
72,Hufflepuff,Eunice,Kimball,1997-09-14,Right,56467.0,529.3030052289412,4.204821103561154,-5.293030052289412,6.89,-511.8962774657433,386.227460206767,6.335260445646684,1054.6768353183302,4.5401738648693515,-0.9805984774659277,-243.6346,-50.5
73,Ravenclaw,Nathan,Colby,2001-09-19,Right,44554.0,-710.0218327918265,nan,7.100218327918265,3.349,462.66937043123056,597.3060444110594,6.525205579532839,1042.6436981877064,8.694805915100162,1.0341891309976263,-231.1495,-23.84
74,Hufflepuff,Neil,Briseno,1998-03-18,Right,49093.0,511.9677066785554,4.360554738248516,-5.1196770667855525,5.875,-378.8986767259272,417.06510685492265,8.090267403949113,1038.628670675449,6.635063323294299,0.182990427641638,-242.67815,-33.59
75,Ravenclaw,Andra,Moen,2001-01-23,Left,40424.0,-467.57372660959885,3.486307225235148,4.675737266095988,3.213,479.80887820341127,571.7582851195882,4.325317284198373,1044.3420458425362,7.093295725732464,-1.1535451736927709,-233.68723,5.24
76,Ravenclaw,Carroll,Kersey,1999-10-20,Right,56259.0,-301.4833725111648,4.470596381712079,3.0148337251116484,6.545,887.0278523685254,650.5954044412074,5.728551916089313,1075.0938286730584,9.550556841973153,-1.1975563813262404,-229.64984,-35.06
77,Gryffindor,Calvin,Stauffer,1999-03-23,Right,36467.0,630.1191712878914,-6.005137508490438,-6.3011917128789126,4.474,-439.672360059722,558.9078755221758,-3.754066172102528,947.1983325098108,3.532585304463953,-0.0889275928926895,-254.29191,177.01
78,Hufflepuff,Bobby,Ezell,1997-07-18,Left,62083.0,432.2355311779952,4.760955687348787,-4.32235531177995,5.584,-443.2561433856852,333.6560195053469,6.010138182397384,1056.628084205546,1.8371015411409224,0.5029246072838629,-244.47797000000003,-79.62
79,Hufflepuff,Elma,Hamlin,1997-10-08,Left,55696.0,496.1828615285049,5.887822552794202,-4.961828615285049,5.118,-590.8899546843993,401.7253781341812,5.0090296101888185,1054.9371448025943,4.927521498260714,0.8401360802240724,-244.09586,-6.84
80,Hufflepuff,Graham,Lake,1997-07-14,Right,56473.0,538.5688541906542,5.855271686944297,-5.38568854190654,4.1789999999999985,-560.4919306164387,404.76851711063495,5.728951058686408,1051.6406810143128,5.870867267978759,nan,-244.92905,-6.57
81,Gryffindor,Richie,Mcmanus,1997-07-06,Left,51384.0,373.8515940522303,-4.920899674210428,-3.738515940522303,5.275,-394.97918815415056,604.8468443021218,-5.935517155330037,947.7522757120424,1.2457114583224138,0.9346919963421604,-251.72993,189.47
82,Ravenclaw,Malcolm,Lane,1997-04-03,Left,17853.0,-544.7476475353192,6.794539703954007,5.447476475353191,3.58,285.74345235976864,533.2967276040088,4.775030593899711,1043.1935785244586,6.47495751043992,0.692735915501769,-230.32738,40.09
83,Slytherin,Dianne,Morrison,1997-08-17,Right,38650.0,nan,-2.5979011311556706,6.872203073666188,-3.907,-767.5737987528156,345.45002794477654,6.490521126234078,1052.284160564243,8.095603529919046,0.1845896795218104,-246.31032,-82.18
84,Hufflepuff,Zoe,Morrill,2001-01-23,Left,29371.0,578.6001156516568,4.084192445306688,-5.786001156516567,4.065,-444.3218868574778,472.8254287287471,5.725154456420247,1035.9000332757782,9.892493987205118,-0.2967623214291309,-243.94583,58.63
85,Ravenclaw,Orville,Neuman,1997-09-15,Left,52012.0,-545.0794909074219,3.052108862988584,5.45079490907422,3.556,368.49314768519486,636.5898622662787,5.863257972979685,1037.5019687087863,9.75221250868057,1.0401918165913524,-232.63312,7.83
86,Hufflepuff,Fidel,Ginn,2000-12-10,Left,28456.0,806.6085169181891,5.583606854345457,-8.066085169181891,3.646,-100.16844339658384,348.013724492062,5.90177004946018,1020.8832312804584,3.4502220593040303,0.15693212656960998,-246.31398,12.97
87,Gryffindor,Cheryl,Perez,2001-03-02,Left,87601.0,256.25235899508596,-5.8810616518596195,-2.5625235899508594,3.2310000000000003,-588.8892676420343,617.6821326104607,-5.545642122496378,949.910264624384,1.3156140197509445,-3.313675764124477,-255.08945,149.0
88,Hufflepuff,Sharla,Metzger,1999-04-02,Left,16894.0,619.747765696056,5.625563787168502,-6.19747765696056,3.884,-394.7294467435639,464.3275982706536,4.805481196464049,1024.6392798895722,8.6963496052725,0.5224952643996339,-243.29676,98.67
89,Ravenclaw,Loren,Free,1996-12-05,Right,46653.0,-285.78368233633614,7.217582717502638,2.8578368233633613,6.021,626.6205125614016,607.1918851637639,3.1001683062146763,1044.5810172726337,5.020294991072458,1.249410689279856,-230.64592,38.12
90,Slytherin,Sheldon,Boatman,2000-03-30,Left,65092.0,-450.46274531990997,-5.261056842024251,4.5046274531991015,-5.231,-594.3985252307325,395.6230194116517,6.1120221881049765,1041.31594343937,9.2030868096276,-0.5972803952581144,-251.6276,-91.86
91,Ravenclaw,Jerry,Gunn,1999-11-29,Left,49925.0,-546.9660940919433,8.46534045279428,5.469660940919434,4.314,238.35461080304782,559.0539082301991,5.1299609294147315,1034.5554805869042,4.471265917531918,-0.4210273365901753,-230.29871,21.18
92,Slytherin,Ben,Munger,1998-06-21,Right,nan,-645.5152046244248,-6.7978607476166335,6.455152046244247,-5.629,-632.6272127996734,336.6360753157603,7.352606480192351,1072.693300167327,11.413822229016885,-0.6784006159480906,-249.64377,-131.52
93,Ravenclaw,Valentine,Dale,1998-09-15,Right,60716.0,-599.1986601107227,5.346689863973476,5.991986601107228,4.32,632.7660890490102,587.7633805606898,3.495215568712055,1035.620331427691,3.3141087606200017,0.3882842334851316,-231.5922,-7.21
94,Hufflepuff,Tom,Haskins,1999-12-07,Right,63924.0,254.0068131990921,6.138805340080992,nan,2.9930000000000003,-365.1194872360422,452.7325286791143,3.862708780665389,1032.2946784130588,3.8824965350402008,-0.22760174577467995,-243.5927,22.71
95,Slytherin,Troy,Burden,1999-02-24,Right,42853.0,-476.34033810220507,-3.1211499050517912,4.763403381022051,-6.835,-539.0390324709998,398.54201282778035,2.195020838940909,1066.9710027089427,9.584011382834026,-0.5132928663897611,-250.85195,-20.9
96,Ravenclaw,Chasity,Slack,2000-12-18,Left,75501.0,nan,5.593178393848967,5.4039570048959575,5.694,596.6572600562572,656.8233325520728,4.611475493747089,1055.2745991077306,6.759277527948433,-0.6805725058251241,-230.0763,-18.58
97,Ravenclaw,Eugene,Stearns,1997-08-14,Right,54385.0,-533.5211842550038,4.304112753027703,5.33521184255004,4.874,643.8185668332159,607.1855979174406,nan,1061.2939072122451,7.54084694544469,0.17753517498457205,-230.62513,-31.01
98,Hufflepuff,Daphne,Schuler,2001-07-22,Right,nan,415.8651693062767,6.116955726486718,-4.158651693062767,3.703,-446.0409485681852,363.3708931033683,4.6993256063961235,1053.651543274265,1.3146512785924345,1.559495673676467,-246.13159,-58.26
99,Hufflepuff,Lucio,Wray,1999-01-21,Left,46505.0,508.1611883528949,6.11314406193578,-5.081611883528949,3.284,-387.5559813493135,407.31994051086957,5.142065215250079,1037.0804332529328,5.109155180436624,1.3300362081007877,-244.66168,19.76
100,Ravenclaw,Una,Dudley,2000-07-01,Left,36066.0,-449.6449816626532,7.746318175220933,nan,nan,546.7038257699553,599.1825910306093,5.716181597697831,1061.3599721900946,8.575374931441388,-1.7149790133498677,-228.58794,18.5
101,Ravenclaw,Bernardo,Arce,1999-06-27,Right,82681.0,-535.163742064488,3.9829154509380658,5.35163742064488,5.6389999999999985,576.0822718759279,607.2877437054501,5.374844957548372,1042.578100925014,4.503203601903501,-0.5122382367523098,-232.25196,-60.48
102,Hufflepuff,Claudio,Ackerman,1997-12-04,Left,87485.0,160.41647659977562,5.399528155831042,-1.6041647659977565,4.541,-656.2565588444749,397.0455119024009,6.758871662068592,1067.29945517026,4.11324849808359,-0.5119915066568471,-243.25293,-90.5
103,Gryffindor,Kendrick,Lahr,1997-01-29,Right,58920.0,504.370715165964,-3.6499675521187047,-5.043707151659639,5.412000000000001,-504.54219729936096,639.810852719047,-6.2009324328098225,nan,2.5000717345585968,-0.7851714901863206,-252.1845,216.97
104,Gryffindor,Kimberley,Sharpe,1996-12-06,Right,39991.0,270.74104185942025,-6.783144005684125,-2.7074104185942027,3.518,-1043.9615274537164,567.3518380001963,-7.512111616461143,906.6273196915248,-0.16072592124098414,-1.7494600452235711,-256.09132,254.08
105,Gryffindor,Louis,Falk,1998-01-01,Right,38704.0,580.0378575668954,7.641341729425423,-5.800378575668954,4.899,-642.6727453780919,461.6397818898182,3.576755138153481,1042.8753902021174,6.9193054318519875,0.6024283280256274,-242.9197,86.72
106,Hufflepuff,Nan,Hurley,1999-04-20,Left,57873.0,338.82293086693727,7.329863878135122,-3.3882293086693736,4.189,-616.8391787647063,426.94975282618486,2.3272451943555783,1052.1644381491808,3.4168291515109006,0.8036904220336857,-243.45278,38.9
107,Ravenclaw,Allene,Lister,2000-08-30,Right,16119.0,-432.99990040019316,6.440442473092919,4.329999004001931,4.532,331.9140281835284,580.9558864293454,5.836217025515444,1056.5912955013982,10.003583155565668,-1.1283345081592868,-229.24551,41.89
108,Hufflepuff,Rodolfo,Baines,1997-04-04,Right,43301.0,524.3927519144191,3.816187929186309,-5.243927519144191,8.583,-377.0725187637749,422.7510677806015,3.7578202961400393,1040.211627179608,3.0244313008448125,-0.4350666424897735,-242.09334,2.5
